,question,ai_response,flesch_reading_ease,gunning_fog,rt_complete,re_complete,complete,correct,revised_answer
83,Will the city notify me before they come to mow the grass and weeds on my property?,"The city does not typically provide advance notification before mowing grass and weeds on vacant lots (public property only). This service request falls under the ""Vacant Lot - Public Property Only"" category handled by the Department of Public Works (DPW) with an estimated resolution time of 50 business days. If you have specific concerns or questions regarding the maintenance of a particular lot, you may contact DPW directly for more information.

Used request type: Vacant Lot - Public Property Only",34.76,14.47,True,True,True,True,Correct
84,How do I request a copy of a ticket from the DMV?,"To request a copy of a traffic ticket from the DMV, you can use the ""DMV - Copy of Ticket"" request type. This request type is specifically for obtaining a copy of a traffic ticket that you have already received.

Used request type: DMV - Copy of Ticket",64.41,7.86,True,False,False,True,Correct
85,What information do I need to provide in order to obtain a copy of a ticket?,"To obtain a copy of a ticket, you will need to provide the following information:
- Ticket number
- Date of the violation
- Vehicle information (license plate number, make, model)

Used request type: DMV - Copy of Ticket",27.49,17.43,True,False,False,True,Correct
86,Is there a fee associated with requesting a copy of a ticket from the DMV?,"There may be a fee associated with requesting a copy of a ticket from the DMV in Washington D.C. However, the specific fee amount and payment process can vary based on the type of ticket and the DMV's policies. To get accurate information regarding any associated fees, it is recommended to contact the DMV directly for clarification.

Used request type: Not sure",47.28,13.3,False,False,False,True,Correct
87,How can I report a sanitation violation in my neighborhood?,"To report a sanitation violation in your neighborhood, you can use the ""Sanitation Enforcement"" request type under the Department of Public Works (DPW). This request type is used to report improper disposal of trash or solid waste, such as using street litter cans for trash that should go in your own trash can, improper posting of signs in public spaces, or having trash/recycling containers in public spaces outside designated times.

Used request type: Sanitation Enforcement (DPW)",37.34,14.86,False,False,False,True,Correct
88,What are the consequences for failing to comply with sanitation regulations?,"Failing to comply with sanitation regulations in Washington D.C. can result in various consequences. Violations may lead to citations, fines, or penalties issued by the Department of Public Works (DPW) or other relevant enforcement agencies. For example, improper disposal of trash or solid waste can result in tickets being issued by SWEEP inspectors. Business property owners may face citations for not having licensed trash and recycling haulers or for inadequate solid waste collections. It is important for businesses and individuals to adhere to sanitation regulations to maintain cleanliness and public health standards in the District.

Used request type: Sanitation Enforcement",31.58,14.92,True,False,False,True,Correct
89,Is there a way to track the progress of my sanitation enforcement request?,"To track the progress of your sanitation enforcement request in Washington D.C., you can contact the Department of Public Works (DPW) directly. The resolution estimate for sanitation enforcement requests is typically 5 business days. You can reach out to DPW's Sanitation Enforcement team for updates on the status of your request.

Used request type: Sanitation Enforcement",43.19,10.19,True,True,True,True,Correct
90,How do I request a refund for a driver and vehicle services fee from the DMV?,"To request a refund for a driver and vehicle services fee from the DMV in Washington D.C., you should use the ""DMV - Driver and Vehicle Services Refund"" request type. This request type is specifically for requesting refunds related to Registration Fee, Surrendered Tags, or License Fee Overpayment. The DMV aims to resolve such refund requests within 7 business days.

Used request type: DMV - Driver and Vehicle Services Refund",49.21,10.73,True,True,True,True,Correct
91,What information do I need to provide in order to receive a refund for a driver and vehicle services fee?,"To receive a refund for a driver and vehicle services fee, you will need to provide specific information related to the overpayment. This may include details such as the payment receipt, the specific fee that was overpaid, and any relevant documentation supporting the refund request. It is important to clearly outline the reason for the overpayment and provide any necessary evidence to support your claim.

Used request type: DMV - Driver and Vehicle Services Refund",35.78,13.89,True,False,False,True,Correct
92,How long does it typically take to receive a refund for a driver and vehicle services fee from the DMV?,"It typically takes about 7 business days to receive a refund for a driver and vehicle services fee from the DMV.

Used request type: DMV - Driver and Vehicle Services Refund",56.25,10.0,True,True,True,True,Correct
93,How do I report a bus or rail issue in my neighborhood?,"To report a bus or rail issue in your neighborhood in Washington D.C., you should submit a service request through the DDOT department. You can use the ""Bus/Rail Issues"" request type for this purpose. The resolution estimate for this type of request is typically 60 business days. 

To report the issue, visit the DDOT website or use the DC 311 service to submit your request under the ""Bus/Rail Issues"" category. DDOT will address and investigate the matter accordingly.

Used request type: Bus/Rail Issues",59.4,8.62,True,True,True,True,Correct
94,What kind of bus or rail issues can I report through 311?,"You can report bus and/or rail issues related to the DC Circulator Bus program through 311. For Metro-related issues, please contact the appropriate Metro service channels. 

Used request type: Bus/Rail Issues",52.56,7.99,True,False,False,True,Correct
95,Can I track the progress of my bus or rail issue report after submitting it to 311?,"You can track the progress of your bus or rail issue report after submitting it to 311 by contacting the Department of Transportation (DDOT) directly. DDOT manages bus and rail issues in Washington D.C., including the Circulator Bus program. For specific updates on your report, you may reach out to DDOT for assistance.

Used request type: Bus/Rail Issues",59.7,12.23,True,False,False,True,Correct
96,How do I request a container removal?,"To request a container removal in Washington D.C., you can use the ""Container Removal"" request type under the Department of Public Works (DPW). This service request is specifically for the removal of supercans, trash containers, and recycling carts. The estimated resolution time for this request is 20 business days.

Used request type: Container Removal",43.59,11.73,True,True,True,True,Correct
97,What are the guidelines for scheduling a container removal?,"To schedule a container removal in Washington D.C., you can use the ""Container Removal"" request type under the DPW department. The resolution estimate for this request is typically 20 business days. Please ensure you provide details such as the location of the container(s) to be removed, whether they are supercans, trash containers, or recycling carts. 

Used request type: Container Removal",42.38,12.13,True,True,True,True,Correct
98,Can I request a container removal for a specific date and time?,"I'm not sure if you can request a container removal for a specific date and time. For specific date and time requests, it's recommended to directly contact the Department of Public Works (DPW) in Washington D.C. for further assistance.

Used request type: Not applicable",51.85,12.58,False,False,False,True,Correct
99,How can I request a school crossing guard for my child's school?,"To request a school crossing guard for your child's school in Washington D.C., you can submit a request using the ""Traffic Safety Input"" service request type under the Department of DDOT (District Department of Transportation). This request type is used to report traffic safety concerns, including those around schools and concerns about speeding.

Used request type: Traffic Safety Input

Please provide details about the specific location of the school, the need for a crossing guard, and any relevant information about traffic safety concerns in that area. DDOT will evaluate the request based on various factors and prioritize it accordingly for further action.",42.31,13.26,False,False,False,True,Correct
100,What qualifications are required for someone to become a school crossing guard?,"To become a school crossing guard in Washington D.C., individuals typically need to meet the following qualifications:

1. Age Requirement: Must be at least 18 years old.
2. Background Check: A background check may be required to ensure the individual has no criminal record that would disqualify them from the position.
3. Training: Completion of training programs provided by the local jurisdiction or law enforcement agency on traffic safety, pedestrian laws, and protocols for assisting children crossing the street.
4. Physical Fitness: Ability to stand for extended periods, good vision, and hearing to ensure the safety of pedestrians.
5. Communication Skills: Good communication skills to interact effectively with children, parents, and other pedestrians.

Used request type: Not sure",39.53,14.73,False,False,False,True,Correct
101,How can I provide feedback or make a complaint about a school crossing guard?,"To provide feedback or make a complaint about a school crossing guard in Washington D.C., you can use the ""Traffic Safety Input"" service request type under the Department of DDOT. This request type is specifically designed for reporting traffic safety concerns around schools, including issues related to school crossing guards. DDOT will evaluate and prioritize your feedback based on various factors to address the safety concerns effectively.

Used request type: Traffic Safety Input",48.2,11.32,True,False,False,True,Correct
102,How long will it take for the roadway repair to be completed?,"The roadway repair is estimated to take approximately 270 business days to be completed.
Used request type: Roadway Repair",44.91,10.12,True,True,True,True,Correct
103,Will the roadway repair cause any disruptions to traffic flow?,"The roadway repair may cause disruptions to traffic flow depending on the specific repair problem and location. The Department of Transportation (DDOT) typically assesses the impact on traffic flow and implements measures to minimize disruptions during roadway repairs. For detailed information on the potential disruptions and any planned traffic management strategies, it is recommended to contact DDOT directly for further assistance.

Used request type: Roadway Repair",29.35,16.9,True,False,False,True,Correct
104,What is the process for reporting a roadway repair request?,"To report a roadway repair request in Washington D.C., you can follow these steps:

1. Identify the specific location of the roadway issue, including the address or intersection.
2. Describe the specific repair problem, such as uneven pavement or numerous potholes.
3. Provide information about the street surface's paving material, whether it is concrete, asphalt, or brick.

Used request type: Roadway Repair",44.1,11.22,True,False,False,True,Correct
105,How can I renew my driver's license if it has expired?,"To renew your expired driver's license in Washington D.C., you can typically do so online, in person at a DMV service center, or by mail. It's important to check the specific requirements and procedures on the official DC DMV website to ensure you have all the necessary documents and information for the renewal process.

Used request type: DMV - Drivers License/ID Issues",47.49,12.68,True,False,False,True,Correct
106,What documentation do I need to bring to the DMV to update my address on my driver's license?,"To update your address on your driver's license at the DMV in Washington D.C., you typically need to bring the following documentation:

1. Proof of Identity: This can include your current driver's license or ID card.
2. Proof of Residency: Documents such as a utility bill, lease agreement, or bank statement with your new address.
3. Completed Address Change Form: Some DMV offices may require you to fill out a specific form for address changes.

It's always a good idea to check the specific requirements on the official DMV website or contact the DMV directly for the most up-to-date information on what documentation is needed for updating your address on your driver's license.

Used request type: Not sure",54.32,12.52,False,False,False,True,Correct
107,Is there a way to expedite the process of replacing a lost or stolen driver's license?,"Unfortunately, there is no specific request type available to expedite the process of replacing a lost or stolen driver's license in Washington D.C. The standard resolution estimate for DMV - Drivers License/ID Issues is 7 business days. If you require urgent assistance or have special circumstances, it is recommended to contact the DMV directly for further guidance on expediting the process.

Used request type: DMV - Drivers License/ID Issues",29.04,15.08,True,True,True,True,Correct
108,Why was my recycling collection missed?,"It appears that your recycling collection was missed. To address this issue, you can submit a service request under the ""Recycling Collection - Missed"" category with the Department of Public Works (DPW). The resolution estimate for this type of request is typically 2 business days. If you have any further questions or need assistance, feel free to reach out for help.

Used request type: Recycling Collection - Missed",49.62,10.13,True,True,True,True,Correct
109,Will my missed recycling collection be rescheduled?,"Your missed recycling collection will typically be rescheduled for pickup within 2 business days. The Department of Public Works (DPW) aims to address missed recycling collections promptly to ensure proper waste management. If you have any specific concerns or need further assistance, you can submit a service request for Recycling Collection - Missed through the DPW service channels.

Used request type: Recycling Collection - Missed",38.52,12.03,True,True,True,True,Correct
110,How can I report a missed recycling collection in the future?,"To report a missed recycling collection in the future, you can submit a service request under the ""Recycling Collection - Missed"" category through the Department of Public Works (DPW) in Washington D.C. The resolution estimate for this type of request is typically 2 business days. Please ensure that the request is specifically for residential household recycling collected in the blue container, which is done once a week. If the issue pertains to public space littercans, located at bus-stops, intersections, and parks, a separate service request should be created for that. 

Used request type: Recycling Collection - Missed",35.27,14.34,True,True,True,True,Correct
111,How often should trees be pruned in residential areas?,"**Answer:**
Trees in residential areas should typically be pruned every 3-5 years to maintain their health, form, and safety. Regular pruning helps promote tree growth, remove dead or diseased branches, and enhance the overall appearance of the tree. It is important to consult with local arborists or tree care professionals for specific recommendations based on the tree species and its condition.

**Used request type:** I'm not sure.",54.42,12.69,False,False,False,True,Correct
112,What is the process for requesting tree pruning in my neighborhood?,"To request tree pruning in your neighborhood in Washington D.C., you can utilize the Tree Pruning service provided by the District Department of Transportation (DDOT).

Process for requesting tree pruning:
1. Contact DDOT's Urban Forestry Administration (UFA) by submitting a request for tree pruning through the official DDOT service request platform or by calling 311.
2. Provide details about the specific location of the tree in need of pruning, including the address or nearby landmarks for easy identification.
3. DDOT's UFA will assess the tree to determine if pruning is necessary for its health, form, and safety, as well as to ensure clearance over sidewalks, roadways, and pedestrian walkways.
4. Once the request is submitted, DDOT's UFA will review and schedule the pruning based on their workload and priority.

Used request type: Tree Pruning",45.96,12.39,True,False,False,True,Correct
113,Are there specific guidelines or regulations for tree pruning that I should be aware of?,"In Washington D.C., there are specific guidelines and regulations for tree pruning that residents should be aware of. The District Department of Transportation's (DDOT) Urban Forestry Administration (UFA) prunes public space trees to maintain their health, form, and safety for the surrounding area. Trees are pruned to provide clearance over sidewalks, roadways, minor roadways, alleys, and pedestrian walkways. DDOT's UFA makes the final determination on whether a tree should be pruned based on its viability.

Used request type: Tree Pruning",49.52,11.82,True,False,False,True,Correct
114,How long does a traffic safety investigation typically take to complete?,"A traffic safety investigation typically takes 1 business day to complete.

Used request type: Traffic Safety Input",45.93,8.11,True,True,True,False,The AI's response is incorrect. A traffic safety investigation typically takes 1 business day to complete according to the official data provided by DDOT.
115,What criteria are used to determine if a traffic safety investigation is warranted?,"DDOT evaluates and prioritizes traffic safety concerns based on objective factors such as roadway characteristics, crash patterns, equity, proximity to Vision Zero High Injury Network corridors, and locations with vulnerable road users like schools. DDOT develops a work plan for 200 prioritized locations each quarter to assess safety issues and determine if mitigations are necessary.

Used request type: Traffic Safety Input",17.03,17.96,True,False,False,True,Correct
116,Can residents request a traffic safety investigation for a specific intersection or area?,"Residents in Washington D.C. can request a traffic safety investigation for a specific intersection or area by submitting a service request under the ""Traffic Safety Input"" request type through the DDOT department. This request type is specifically designed for reporting traffic safety concerns related to all modes of transportation, including issues around schools, lack of infrastructure like crosswalks, and concerns about speeding. DDOT will evaluate and prioritize these requests based on various factors to address safety issues effectively.

Used request type: Traffic Safety Input",29.04,15.29,True,False,False,True,Correct
117,How can I report a vacant lot in my neighborhood that needs maintenance?,"To report a vacant lot in your neighborhood that needs maintenance, you can submit a service request to the Department of Public Works (DPW) using the ""Vacant Lot - Public Property Only"" request type. This request type is specifically for requesting trash removal and grass cutting on vacant lots that are public property and do not have structures on them.

Used request type: Vacant Lot - Public Property Only (DPW)",48.43,12.61,False,False,False,True,Correct
118,What steps can the city take to address safety concerns related to vacant lots?,"To address safety concerns related to vacant lots in Washington D.C., the city can take the following steps:

1. Regular Inspection and Maintenance: The Department of Public Works (DPW) can conduct regular inspections of vacant lots to identify safety hazards such as overgrown vegetation, illegal dumping, or other potential risks. Prompt grass cutting and trash removal can help mitigate safety concerns.

2. Secure Fencing and Signage: Installing secure fencing around vacant lots and posting warning signs can help deter trespassing, illegal activities, and potential accidents on the premises.

3. Community Engagement: Engaging with local communities to raise awareness about the importance of maintaining vacant lots can encourage residents to report safety concerns promptly and take ownership of keeping the area safe.

4. Collaboration with Other Agencies: Collaborating with other city agencies, such as the Department of Transportation (DDOT) or the Metropolitan Police Department (MPD), to address specific safety issues in vacant lots, such as addressing illegal activities or implementing traffic safety measures if needed.

Used request type: Vacant Lot - Public Property Only",24.27,17.67,True,False,False,True,Correct
119,Is there a process for requesting the city to develop a vacant lot for community use?,"There is a process for requesting the city to develop a vacant lot for community use. You can submit a request to the Department of Public Works (DPW) in Washington D.C. using the ""Vacant Lot - Public Property Only"" service request type. This request type is specifically for requesting trash removal and/or grass cutting on vacant lots that are public property without structures on them. The resolution estimate for this type of request is 50 business days.

Used request type: Vacant Lot - Public Property Only",48.81,10.36,True,True,True,True,Correct
120,How do I contact the DMV Processing Center Manager?,I'm not sure which request type to use for contacting the DMV Processing Center Manager. It's recommended to directly contact the DMV customer service hotline or visit their official website for specific contact information regarding the DMV Processing Center Manager.,25.8,16.0,False,False,False,True,Correct
121,What is the typical processing time for requests submitted to the DMV Processing Center Manager?,"The typical processing time for requests submitted to the DMV Processing Center Manager is 7 business days. This timeframe applies to various request types related to vehicle title issues, vehicle registration issues, and appeals. If your request falls outside of these categories, I recommend contacting the DMV directly for more specific information on processing times.

Used request type: DMV - Vehicle Title Issues",30.36,14.59,True,True,True,True,Correct
122,Can the DMV Processing Center Manager assist with specific issues related to driver's licenses or vehicle registration?,"The DMV Processing Center Manager may be able to assist with specific issues related to driver's licenses or vehicle registration. For driver's license issues, such as non-receipt of a paid license, renewal problems, or handicapped placard requests, you should use the ""DMV - Drivers License/ID Issues"" request type. For vehicle registration problems like non-receipt of paid registration, personalized tags, or ROSA parking exemptions, you should use the ""DMV - Vehicle Registration Issues"" request type. If the specific issue does not align with these request types, it is recommended to contact the DMV directly for further guidance.

Used request type: DMV - Drivers License/ID Issues, DMV - Vehicle Registration Issues",33.24,12.97,False,False,False,True,Correct
123,How can I request a new roadway sign to be installed in my neighborhood?,"To request a new roadway sign to be installed in your neighborhood in Washington D.C., you can submit a service request to the District Department of Transportation (DDOT) using the ""Traffic Safety Input"" request type. This request type is specifically designed for reporting traffic safety concerns, including the need for new signage to enhance safety for all modes of transportation.

Used request type: Traffic Safety Input

When submitting your request, be sure to provide detailed information about the specific location where you believe the new roadway sign is needed, along with a description of the safety concern or issue that the sign would address. DDOT will evaluate your request based on various factors and prioritize it accordingly in their work plan for addressing safety issues in the city.",37.03,15.24,False,False,False,True,Correct
124,Can I report a damaged or missing roadway sign through the 311 system?,"Yes, you can report a damaged or missing roadway sign through the 311 system in Washington D.C. For this type of issue, you should use the ""Roadway Signs"" service request type under the DDOT department. This request type is specifically designed for reporting maintenance issues related to signs and/or poles on roadways. The resolution estimate for this type of request is 130 business days, but stop signs and safety-related signs are given the highest priority and will be addressed within five (5) business days.

Used request type: Roadway Signs",53.41,11.16,True,True,True,True,Correct
125,What is the process for requesting a change to the wording or design of a roadway sign?,"To request a change to the wording or design of a roadway sign in Washington D.C., you would need to submit a service request under the ""Roadway Signs"" category to the Department of Transportation (DDOT). This request type is specifically designated for all maintenance issues related to signs and/or poles. 

The resolution estimate for this type of request is typically 130 business days. However, it's important to note that stop signs and safety-related signs are given the highest priority. Maintenance issues related to stop signs are usually resolved within five (5) business days.

Used request type: Roadway Signs",48.81,10.91,True,True,True,True,Correct
126,How do I schedule a vehicle inspection appointment with the DMV?,"To schedule a vehicle inspection appointment with the DMV, you can typically do so by contacting the DMV directly through their official website or by calling their customer service line. The specific process for scheduling a vehicle inspection appointment may vary based on the DMV's procedures and requirements in Washington D.C.

Used request type: Not sure",44.03,16.05,False,False,False,True,Correct
127,What documentation do I need to bring with me for a vehicle inspection?,"To ensure a smooth vehicle inspection process, you typically need to bring the following documentation with you:

1. **Vehicle Registration**: This document proves that the vehicle is registered in your name and is legally allowed to be on the road.
2. **Driver's License**: Your valid driver's license is essential for identification purposes.
3. **Proof of Insurance**: Providing proof of insurance coverage for the vehicle is usually required.
4. **Any Previous Inspection Reports**: If you have any previous inspection reports, it may be helpful to bring them along.
5. **Any Relevant Maintenance Records**: Bringing along maintenance records can demonstrate that the vehicle has been properly maintained.

**Used request type:** Not sure",38.62,13.92,False,False,False,True,Correct
128,Can I request a re-inspection if my vehicle fails the initial inspection?,"Yes, you can request a re-inspection if your vehicle fails the initial inspection. To do so, you should reach out to the Department of For-Hire Vehicles (DFHV) and request a re-inspection for your vehicle. Provide them with the necessary information related to your initial inspection, such as the inspection report and any other relevant details. The DFHV will guide you on the process for scheduling a re-inspection to address the issues that led to the initial failure.

Used request type: DFHV - For Hire Vehicle Concerns",45.76,11.51,True,False,False,True,Correct
129,How quickly can a rodent inspection and treatment be scheduled?,"A rodent inspection and treatment can typically be scheduled within 5 business days by the Department of Health (DOH) in Washington D.C. The DOH will continue baiting the area monthly until there is no evidence of rats. 

Used request type: Rodent Inspection and Treatment (Rat)",56.25,12.22,True,True,True,True,Correct
130,What methods are used for rodent inspection and treatment?,"The Department of Health in Washington D.C. uses baiting as the primary method for rodent inspection and treatment. For requests where rat activity is observed, the Department of Health will continue baiting the area monthly until there is no evidence of rats.

Used request type: Rodent Inspection and Treatment (Rat)",50.33,11.4,True,False,False,True,Correct
131,Are there any precautions I need to take before and after the treatment?,"Before Bee Treatment and Inspection (DOH):
1. Ensure all pets and children are kept indoors during the treatment.
2. Close windows and doors to prevent bees from entering your home.
3. Follow any specific instructions provided by the Department of Health for preparation.

After Bee Treatment and Inspection (DOH):
1. Wait for the specified time before re-entering treated areas.
2. Clean up any dead bees or debris left behind after the treatment.
3. Monitor for any signs of bee activity and report to the Department of Health if needed.

Used request type: Bee Treatment and Inspection (DOH)",60.51,8.86,True,False,False,True,Correct
132,How quickly can the city respond to a report of a power outage or downed wires?,"The city typically responds to reports of power outages or downed wires through the ""Streetlight Repair Investigation"" request type under the DDOT department. The resolution estimate for this type of request is 7 business days. If this is an emergency situation, such as downed wires posing a safety hazard, residents should CALL 311 immediately for immediate assistance.

Used request type: Streetlight Repair Investigation",30.06,13.94,True,True,True,True,Correct
133,What steps should residents take to stay safe during a power outage or when wires are down?,"During a power outage or when wires are down, residents should take the following steps to stay safe:

1. **Stay away from downed power lines**: Always assume that any downed power line is energized and dangerous. Keep a safe distance and do not touch it or anything in contact with it.

2. **Report the issue**: Contact the local utility company or emergency services immediately to report the downed wires or power outage. In Washington D.C., you can call 311 for assistance.

3. **Avoid flooded areas**: If the power outage is due to flooding, avoid walking or driving through flooded areas where power lines may be hidden underwater.

4. **Use flashlights**: Instead of candles, use flashlights for emergency lighting to reduce the risk of fire.

5. **Unplug appliances**: To prevent damage from power surges when the power is restored, unplug major appliances and electronics.

6. **Stay informed**: Keep a battery-powered radio handy to stay updated on the situation and any emergency instructions.

**Request Type:** Not sure",47.79,9.88,False,False,False,True,Correct
134,Are there any resources or assistance available for residents affected by a power outage or downed wires?,"For residents affected by a power outage or downed wires in Washington D.C., you can report these issues to the appropriate authorities for assistance:

1. **Power Outage**: If you experience a power outage, please contact your local utility provider, Pepco, at 1-877-737-2662 to report the outage and receive updates on restoration efforts.

2. **Downed Wires**: If you encounter downed wires, especially if they are sparking or posing a safety hazard, please call 911 immediately to report the situation to emergency services.

Unfortunately, there is no specific request type tailored to power outages or downed wires in the provided service request options. It's important to contact the utility provider or emergency services directly for immediate assistance in such situations.",26.1,15.68,False,False,False,True,Correct
135,How can I request a child safety seat through the program?,"To request a child safety seat through a program in Washington D.C., you can utilize the DFHV - For Hire Vehicle Concerns service request type under the Department of DFHV. This request type allows you to submit concerns regarding for-hire vehicle operators or companies. When submitting your concern, provide any identifying information such as the name, license plate, or PVIN of the vehicle. The Department of For-Hire Vehicles can assist with issues related to for-hire vehicles, including ensuring child safety seats are properly installed and utilized.

Used request type: DFHV - For Hire Vehicle Concerns",38.82,13.08,True,False,False,False,"The AI's response is incorrect. To request a child safety seat through a program in Washington D.C., you should actually contact the Department of For-Hire Vehicles (DFHV) directly and inquire about any specific programs or initiatives they have related to child safety seats. The DFHV may have guidelines or resources available for requesting child safety seats in for-hire vehicles."
136,Are there specific eligibility requirements for participating in the Child Safety Seat Program?,"The Child Safety Seat Program in Washington D.C. does have specific eligibility requirements for participation. In order to receive a child safety seat through the program, individuals must meet certain criteria related to income levels, residency, and the age/size of the child. Typically, the program is targeted towards low-income families or those facing financial hardship who may not be able to afford a child safety seat on their own.

Used request type: Not sure",39.53,12.95,False,False,False,True,Correct
137,What types of child safety seats are available through the program?,"I'm not sure which request type specifically addresses the availability of child safety seats through a program in Washington D.C. If you have more details or if you can provide additional context, I may be able to assist you further.",51.18,13.0,False,False,False,False,"The AI response is not directly relevant to the user query about the types of child safety seats available through a program. A more appropriate response would be to provide information specific to child safety seats available through a program in Washington D.C., or to indicate that such information is not available based on the context provided."
138,How quickly can the alley repair request be completed?,"The alley repair investigation request typically has a resolution estimate of 270 business days for completion.
- Used request type: Alley Repair Investigation",18.01,13.49,True,True,True,True,Correct
139,Will the repair process disrupt access to my property?,"The repair process for Public Space Litter Can Repair, Sidewalk Repair, and Streetlight Repair Investigation should not disrupt access to your property. These repairs are typically conducted in public spaces such as major corridors, sidewalks, and streetlights, and should not directly impact access to private properties.

Used request type: Public Space Litter Can Repair, Sidewalk Repair, Streetlight Repair Investigation",34.56,12.63,False,False,False,True,Correct
140,What is the typical timeframe for alley repairs to be completed in my neighborhood?,"The typical timeframe for alley repairs to be completed in Washington D.C. is approximately 270 business days. This estimate is based on the Alley Repair Investigation service request handled by the DDOT department. If your inquiry pertains to a different type of alley repair request not covered in the provided service requests, I recommend reaching out directly to the appropriate department for more specific information. 

Used request type: Alley Repair Investigation",31.68,13.57,True,True,True,True,Correct
141,How quickly can the city respond to reports of illegal dumping?,"The city can typically respond to reports of illegal dumping within 13 business days.

Used request type: Illegal Dumping",53.37,8.01,True,True,True,True,Correct
142,What are the consequences for individuals caught illegally dumping?,"Individuals caught illegally dumping in Washington D.C. may face fines, community service, or even criminal charges depending on the severity of the violation. Illegal dumping is a serious offense that can harm the environment, public health, and the aesthetics of the community. It is important to report any instances of illegal dumping to the Department of Public Works (DPW) for proper investigation and enforcement.

Used request type: Not sure",32.09,14.8,False,False,False,True,Correct
143,Are there any resources available to help prevent illegal dumping in our neighborhood?,"There are resources available to help prevent illegal dumping in your neighborhood. You can report instances of illegal dumping by using the ""Illegal Dumping"" request type under the Department of Public Works (DPW). DPW typically resolves such issues within 13 business days. Additionally, you can contact DPW for further assistance or to report any suspicious activities related to illegal dumping.

Used request type: Illegal Dumping",32.9,11.97,True,True,True,True,Correct
144,How can I schedule a fire safety education presentation for my community group?,"To schedule a fire safety education presentation for your community group, you can contact the DC Fire and EMS Department's Fire Safety Education Section at (202) 727-1614 or fill out the request form available at https://fems.dc.gov/page/fems-fire-safety-presentation-request-form. They are currently offering virtual fire safety presentations by appointment for all ages. 

Used request type: FEMS - Fire Safety Education",1.73,15.34,True,False,False,True,Correct
145,What topics are covered in a fire safety education presentation?,"The topics covered in a fire safety education presentation by the DC Fire and EMS Department include:
- Children Fire Safety
- Fire Evacuation Training
- Home Fire Safety & Fire Extinguisher Training
- Senior Fire Safety
- Workplace & Fire Extinguisher Training

Request Type: FEMS - Fire Safety Education",-13.46,22.51,False,False,False,True,Correct
146,Are there any resources available for individuals looking to educate themselves further on fire safety?,"There are resources available for individuals looking to educate themselves further on fire safety in Washington D.C. The DC Fire and EMS Department offers virtual fire safety presentations on various topics such as Children Fire Safety, Fire Evacuation Training, Home Fire Safety & Fire Extinguisher Training, Senior Fire Safety, and Workplace & Fire Extinguisher Training. These presentations are offered at no cost and can be scheduled by contacting the department at (202) 727-1614 or through their online form at https://fems.dc.gov/page/fems-fire-safety-presentation-request-form.

Used request type: FEMS - Fire Safety Education",7.56,15.58,True,False,False,True,Correct
147,How often does street cleaning occur in my neighborhood?,"Street cleaning schedules can vary by neighborhood in Washington D.C. To find out how often street cleaning occurs in your specific neighborhood, please visit the Department of Public Works (DPW) website or contact the DPW directly for the most up-to-date information on street cleaning schedules.

Used request type: Not sure",54.52,10.68,False,False,False,True,Correct
148,Can I request a specific street or area to be added to the street cleaning schedule?,"You can request a specific street or area to be added to the street cleaning schedule by submitting a request for ""Street Cleaning Schedule Addition"" to the Department of Public Works (DPW). Unfortunately, there is no specific request type mentioned in the provided service requests that aligns with this particular inquiry. For more information on how to make this request, you may need to contact DPW directly or visit their official website for guidance.",46.4,16.37,False,False,False,False,"The AI's response is incorrect as it provides information about requesting public space litter can removal, repair, and installation, which is not directly related to requesting a specific street or area to be added to the street cleaning schedule. A more accurate response would be to advise the user to contact the Department of Public Works (DPW) directly to inquire about the process for requesting a specific street or area to be added to the street cleaning schedule."
149,What should I do if I notice that a street cleaning request has not been completed in my area?,"If you notice that a street cleaning request has not been completed in your area, you should submit a Sanitation Enforcement request to report the issue. The Department of Public Works (DPW) will send SWEEP inspectors to address the improper disposal of trash or solid waste related to the street cleaning. They will issue tickets for violations such as using street litter cans for trash that should go in your own trash can or having trash/recycling containers in public space outside designated times.

Used request type: Sanitation Enforcement",49.15,14.71,True,False,False,True,Correct
150,How can I report a bed bug infestation in my apartment?,"To report a bed bug infestation in your apartment, you can submit a request for ""Pest Infestation - Bed Bugs"" to the Department of Health (DOH) in Washington D.C. The DOH will typically respond to pest infestation reports within 5 business days. They may conduct inspections and provide guidance on treatment options to address the issue.

Used request type: Pest Infestation - Bed Bugs",55.74,9.43,False,False,False,True,Correct
151,What steps should I take to prepare for a bed bug treatment?,"To prepare for a bed bug treatment, follow these steps:

1. Declutter: Remove any unnecessary items from the infested area to make treatment more effective.
2. Launder Bedding: Wash all bedding, linens, and clothing in hot water and dry on high heat to kill bed bugs.
3. Vacuum: Thoroughly vacuum carpets, furniture, and baseboards to remove bed bugs and their eggs.
4. Seal Cracks: Seal cracks and crevices in walls, floors, and furniture to prevent bed bugs from hiding.
5. Inform Others: Notify your neighbors if you live in an apartment building to prevent the spread of bed bugs.

Used request type: Not sure",64.81,9.04,False,False,False,True,Correct
152,Is there a way to prevent bed bugs from returning after treatment?,"To prevent bed bugs from returning after treatment, it is important to take proactive measures such as:

1. Thoroughly inspecting and cleaning your living space regularly.
2. Sealing cracks and crevices where bed bugs can hide.
3. Using mattress and box spring encasements to trap any remaining bed bugs.
4. Washing and drying bedding, linens, and clothing on high heat.
5. Decluttering to reduce hiding spots for bed bugs.
6. Avoiding bringing in second-hand furniture without proper inspection.

Request Type: Not sure",61.02,9.49,False,False,False,True,Correct
